population,Data Zone
794,S01001798
"1,069",S01001799
926,S01001800
"1,049",S01001801
877,S01001802
"1,027",S01001803
994,S01001804
703,S01001805
624,S01001806
849,S01001807
520,S01001808
"1,031",S01001809
864,S01001810
638,S01001811
856,S01001812
703,S01001813
726,S01001814
836,S01001815
"1,128",S01001816
664,S01001817
784,S01001818
"1,032",S01001819
844,S01001820
520,S01001821
968,S01001822
"1,133",S01001823
746,S01001824
814,S01001825
853,S01001826
924,S01001827
785,S01001828
697,S01001829
946,S01001830
729,S01001831
694,S01001832
"1,135",S01001833
572,S01001834
655,S01001835
906,S01001836
879,S01001837
705,S01001838
923,S01001839
697,S01001840
712,S01001841
748,S01001842
739,S01001843
"2,926",S01001844
799,S01001845
878,S01001846
888,S01001847
754,S01001848
583,S01001849
733,S01001850
914,S01001851
792,S01001852
717,S01001853
"1,411",S01001854
799,S01001855
835,S01001856
676,S01001857
897,S01001858
"1,046",S01001859
"1,144",S01001860
843,S01001861
787,S01001862
834,S01001863
"1,424",S01001864
749,S01001865
696,S01001866
788,S01001867
731,S01001868
845,S01001869
980,S01001870
"1,813",S01001871
911,S01001872
832,S01001873
"1,229",S01001874
929,S01001875
993,S01001876
"1,011",S01001877
"1,043",S01001878
664,S01001879
780,S01001880
